WPS Index Rank,Country,Code,"Women, Peace, and Security Index",Region,Education,Employment,Financial Inclusion,Cell Phone Use,Parliamentary Representation,Absence of Legal Discrimination,Access to Justice,Maternal Mortality Ratio,Son Bias,Intimate partner violence ,Community Safety,Political Violence Targeting Women,Proximity to Conflict
1,Denmark,DNK,0.939,DC,13.2,77.9,100,100,43.6,100,4,4,105.6,3.3,85,0,0
2,Iceland,ISL,0.932,DC,13.9,83.7,100,100,46,100,3.4,3,105.9,2.8,82,0,0
3,Norway,NOR,0.924,DC,13.1,78.6,100,100,44.4,96.9,3.7,1,106.1,4.4,86,0,0
3,Sweden,SWE,0.924,DC,12.8,82.2,100,100,45,100,3.7,4,105.6,6.3,74,0,0
5,Finland,FIN,0.921,DC,13.1,78.4,99.1,100,45.5,97.5,3.5,8,105.2,8.1,78,0,0
6,Luxembourg,LUX,0.918,DC,12.8,74.4,98.2,93,35,100,3.8,11,105.3,3.5,86,0,0
7,Belgium,BEL,0.912,DC,12.3,71.6,98.7,95,43.1,100,3.9,4,104.9,4.8,63,0,0
8,Netherlands,NLD,0.905,DC,12.4,79.5,99.5,95,39.6,100,3.4,4,105.3,5.1,69,0,0
9,Austria,AUT,0.898,DC,12,74.7,100,95,38.7,96.9,3,6,105.5,3.6,82,0,0
9,New Zealand,NZL,0.898,DC,12.9,79.5,99.2,95,45.5,97.5,3.6,7,105.3,4.2,47,0,0
11,Australia,AUS,0.896,DC,12.9,76.5,100,95,44.9,96.9,3.5,2,105.6,2.9,52,0,0
11,Estonia,EST,0.896,CEE&CA,13.8,82.5,99.6,100,28.7,97.5,3.5,5,106.1,4.2,75,0,0
13,Ireland,IRL,0.891,DC,11.9,75.8,99.5,95,30.3,100,3.7,4,105.6,3.3,68,0,0
14,Slovenia,SVN,0.889,CEE&CA,12.8,77.4,98.2,97,30,96.9,3.6,3,106.3,3.4,79,0,0
15,Lithuania,LTU,0.887,CEE&CA,13.6,80.4,90.4,100,28.4,93.8,3.5,8,105.2,5.2,65,0,0
